Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map 1,Map 2,Map 3,Map 4,Map 5
1,100 Thieves,Caught in 4k,2,0,2021-02-11,3,Haven,Bind,Ascent,,
-1,Nautic,VZN,1,2,2021-02-11,3,Split,Ascent,Haven,,
1,NSIC,ALL GAS NO BRAKES,2,0,2021-02-11,3,Ascent,Haven,,,
1,Elevate,Royal,2,0,2021-02-11,3,Bind,Haven,,,
1,Ghost Gaming,THE FIVE EMPERORS,2,0,2021-02-11,3,Bind,Haven,,,
1,Big Backwoods,Heathens,2,0,2021-02-11,3,Ascent,Haven,,,
1,Complexity,SFG,2,0,2021-02-11,3,Icebox,Haven,,,
0,Reformed,Resonate,0,0,2021-02-11,3,,,,,
1,NRG Esports,Pure,2,0,2021-02-11,3,Split,Haven,,,
1,ANEW Esports,Rated Gaming,2,0,2021-02-11,3,Ascent,Haven,,,
1,FUNSNATCHERS,Orange Juice Gaming,2,0,2021-02-11,3,Haven,Ascent,,,
1,Last Round Save,Hotcakes,2,0,2021-02-11,3,Ascent,Haven,,,
1,Andbox,Amarok Esports,2,0,2021-02-11,3,Icebox,Split,,,
1,Take Flyte,Dallas Vendetta,2,0,2021-02-11,3,Ascent,Haven,,,
1,Cloud9 White,Lunch Club,2,1,2021-02-11,3,Ascent,Icebox,Haven,,
1,On The Way,ThiccWRECK,2,0,2021-02-11,3,Bind,Ascent,,,
1,FaZe Clan,Match Point,2,0,2021-02-11,3,Haven,Bind,,,
1,Flow State,Enigma,2,0,2021-02-11,3,Bind,Ascent,,,
1,eUnited,GCU Esports,2,0,2021-02-11,3,Ascent,Bind,,,
-1,Sakura Storm,PremierGG,1,2,2021-02-11,3,Haven,Ascent,Bind,,
1,Carpe Noctem,sadHours,2,0,2021-02-11,3,Split,Bind,,,
-1,VT Valorant,Triangle Offense,0,2,2021-02-11,3,Ascent,Split,,,
1,Version1,Onslaught Gaming,2,0,2021-02-11,3,Ascent,Split,,,
1,Time In,S2,2,0,2021-02-11,3,Bind,Ascent,,,
1,T1,NC State Esports,2,0,2021-02-11,3,Haven,Icebox,Split,,
