Outcome,Team A,Team B,Score A,Score B,Date,Best Of,Map Pool
1,Envy,Gen.G,2,1,2021-03-11,3,"['Haven', 'Icebox', 'Bind']"
-1,XSET,FaZe Clan,0,2,2021-03-11,3,"['Haven', 'Bind', 'Ascent']"
1,Sentinels,Luminosity,2,1,2021-03-12,3,"['Ascent', 'Split', 'Icebox']"
-1,Immortals,100 Thieves,0,2,2021-03-12,3,"['Ascent', 'Haven', 'Bind']"
1,Gen.G,XSET,2,0,2021-03-13,3,"['Ascent', 'Haven', 'Bind']"
1,Luminosity,Immortals,2,1,2021-03-13,3,"['Split', 'Haven', 'Bind']"
-1,Envy,FaZe Clan,0,2,2021-03-14,3,"['Icebox', 'Bind', 'Haven']"
1,Sentinels,100 Thieves,2,0,2021-03-14,3,"['Ascent', 'Haven', 'Icebox']"
-1,100 Thieves,Gen.G,0,2,2021-03-19,3,"['Ascent', 'Icebox', 'Haven']"
1,Envy,Luminosity,2,0,2021-03-19,3,"['Haven', 'Ascent', 'Bind']"
-1,FaZe Clan,Sentinels,0,2,2021-03-19,3,"['Icebox', 'Haven', 'Ascent']"
1,Gen.G,Envy,2,1,2021-03-20,3,"['Ascent', 'Haven', 'Bind']"
1,FaZe Clan,Gen.G,2,0,2021-03-20,3,"['Ascent', 'Bind', 'Haven']"
1,Sentinels,FaZe Clan,3,0,2021-03-21,5,"['Ascent', 'Bind', 'Haven', 'Icebox', 'Split']"
