Outcome,Team A,Team B,Score A,Score B,Date
1,100 Thieves,THE FIVE EMPERORS,2,0,"Wednesday, January 27th"
1,Spotlight,Prism Esports,2,1,"Wednesday, January 27th"
1,Carpe Noctem,PremierGG,2,0,"Wednesday, January 27th"
-1,Archons,Brimstone Gaming,0,2,"Wednesday, January 27th"
1,NRG Esports,VIRTUOSO,2,0,"Wednesday, January 27th"
1,BLAHAJ,ATK Mode,2,0,"Wednesday, January 27th"
1,Dignitas,ABC Boiz,2,0,"Wednesday, January 27th"
1,PROJECT X,ExPandable,2,0,"Wednesday, January 27th"
1,Renegades,Pirate Nation,2,0,"Wednesday, January 27th"
1,YFP Gaming,SLU Esports,2,0,"Wednesday, January 27th"
1,Spot Up,D2E Black,2,0,"Wednesday, January 27th"
1,On The Way,Scarlet Knights,2,0,"Wednesday, January 27th"
1,Gen.G,Deadlife,2,0,"Wednesday, January 27th"
-1,Exotic,Fluid Gaming,0,2,"Wednesday, January 27th"
1,Knights,ANEW Esports,2,0,"Wednesday, January 27th"
1,NSIC,Mob Mentality eSports,2,0,"Wednesday, January 27th"
1,Envy,Sac State Hornets,2,0,"Wednesday, January 27th"
0,Take Flyte,WULFPACK ESPORTS,0,0,"Wednesday, January 27th"
1,Roosters,Ascendants,2,1,"Wednesday, January 27th"
1,Derrek and Friends(ex-Phoenix1),Zelo,2,1,"Wednesday, January 27th"
1,Equinox Esports,Bounty Esports,2,0,"Wednesday, January 27th"
1,CPC,Onslaught Gaming,2,1,"Wednesday, January 27th"
1,Complexity,US Army Esports,2,0,"Wednesday, January 27th"
1,Demon Time,Heathens,2,0,"Wednesday, January 27th"
1,FaZe Clan,Retake,2,0,"Wednesday, January 27th"
-1,TradeLikePros,Big Backwoods,0,2,"Wednesday, January 27th"
1,Slimy Boogermen,Boberts-Bugs-B-Gone,2,1,"Wednesday, January 27th"
1,NeverDone,Virus and Friends,2,0,"Wednesday, January 27th"
1,Luminosity,Elevation,2,0,"Wednesday, January 27th"
1,VT Valorant,xoxo,2,0,"Wednesday, January 27th"
-1,Time In,Sandwich Eaters 40,0,2,"Wednesday, January 27th"
1,Penguin Sledding,bumpaaMaid,2,0,"Wednesday, January 27th"
1,TSM,Rated Gaming,2,0,"Wednesday, January 27th"
