Team A,Team B,Score A,Score B,Date
100 Thieves,THE FIVE EMPERORS,2,0,"Wednesday, January 27th"
Spotlight,Prism Esports,2,1,"Wednesday, January 27th"
Carpe Noctem,PremierGG,2,0,"Wednesday, January 27th"
Archons,Brimstone Gaming,0,2,"Wednesday, January 27th"
NRG Esports,VIRTUOSO,2,0,"Wednesday, January 27th"
BLAHAJ,ATK Mode,2,0,"Wednesday, January 27th"
Dignitas,ABC Boiz,2,0,"Wednesday, January 27th"
PROJECT X,ExPandable,2,0,"Wednesday, January 27th"
Renegades,Pirate Nation,2,0,"Wednesday, January 27th"
YFP Gaming,SLU Esports,2,0,"Wednesday, January 27th"
Spot Up,D2E Black,2,0,"Wednesday, January 27th"
On The Way,Scarlet Knights,2,0,"Wednesday, January 27th"
Gen.G,Deadlife,2,0,"Wednesday, January 27th"
Exotic,Fluid Gaming,0,2,"Wednesday, January 27th"
Knights,ANEW Esports,2,0,"Wednesday, January 27th"
NSIC,Mob Mentality eSports,2,0,"Wednesday, January 27th"
Envy,Sac State Hornets,2,0,"Wednesday, January 27th"
Take Flyte,WULFPACK ESPORTS,0,0,"Wednesday, January 27th"
Roosters,Ascendants,2,1,"Wednesday, January 27th"
Derrek and Friends(ex-Phoenix1),Zelo,2,1,"Wednesday, January 27th"
Equinox Esports,Bounty Esports,2,0,"Wednesday, January 27th"
CPC,Onslaught Gaming,2,1,"Wednesday, January 27th"
Complexity,US Army Esports,2,0,"Wednesday, January 27th"
Demon Time,Heathens,2,0,"Wednesday, January 27th"
FaZe Clan,Retake,2,0,"Wednesday, January 27th"
TradeLikePros,Big Backwoods,0,2,"Wednesday, January 27th"
Slimy Boogermen,Boberts-Bugs-B-Gone,2,1,"Wednesday, January 27th"
NeverDone,Virus and Friends,2,0,"Wednesday, January 27th"
Luminosity,Elevation,2,0,"Wednesday, January 27th"
VT Valorant,xoxo,2,0,"Wednesday, January 27th"
Time In,Sandwich Eaters 40,0,2,"Wednesday, January 27th"
Penguin Sledding,bumpaaMaid,2,0,"Wednesday, January 27th"
TSM,Rated Gaming,2,0,"Wednesday, January 27th"
Balanced Esports,Zero MarksMen,2,0,"Wednesday, January 27th"
Rise,Onslaught Gaming Red,2,0,"Wednesday, January 27th"
Elysium,Akuma Esports Black,2,0,"Wednesday, January 27th"
XSET,Primeval,2,0,"Wednesday, January 27th"
down bad,select few,0,0,"Wednesday, January 27th"
eUnited,Dialed In,2,0,"Wednesday, January 27th"
Cloud9 White,D2E Gold,2,0,"Wednesday, January 27th"
Immortals,Aqua,2,0,"Wednesday, January 27th"
Elevate,NBK Valorant,2,0,"Wednesday, January 27th"
Big Frames,Bad Karma Esports,2,0,"Wednesday, January 27th"
Obstacle,Gangster Gorillas,2,0,"Wednesday, January 27th"
Cloud9,Waverunners,2,0,"Wednesday, January 27th"
seeker,Poised,0,2,"Wednesday, January 27th"
Ghost Gaming,ACE,2,0,"Wednesday, January 27th"
Sakura Storm,Radiant Roombas,2,1,"Wednesday, January 27th"
Sentinels,EthanK Fan Club,2,0,"Wednesday, January 27th"
Techno Monks,Dog Team Club Org,2,0,"Wednesday, January 27th"
Evil Geniuses,MROrgless,2,0,"Wednesday, January 27th"
Serenity,Insert Name Here,2,1,"Wednesday, January 27th"
Built By Gamers,Silhouette,2,0,"Wednesday, January 27th"
Headshot Percentage,RIFLE CRUTCHERS,0,2,"Wednesday, January 27th"
Spacestation Gaming,Binghamton Bearcats,2,0,"Wednesday, January 27th"
Resonate,YMA,2,0,"Wednesday, January 27th"
T1,asdf,2,0,"Wednesday, January 27th"
Able Esports,NBKS CENTURIONS,2,1,"Wednesday, January 27th"
Hollywood Hooliganz,Carleton Ravens,2,0,"Wednesday, January 27th"
303 Esports,ROACHES,2,0,"Wednesday, January 27th"
Andbox,Dallas Vendetta,2,0,"Wednesday, January 27th"
ANBU Ops,Swagoi,1,2,"Wednesday, January 27th"
Sedated,Team eXoN,2,0,"Wednesday, January 27th"
